e1,d1,d2,d4,d5,d6,r1,r2,r5,r6,r9,r10,r11,r13,r15,r19,r20,r21,r22,r24,r25,r26,r27,r28,f1,f3,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,f15,f16,f17,r3,r7,r8
3,2,4,2,4,25,3,12,32,1,5,5,1,5,7,6,1,1,4,7,1,1,1,1,14,1,5,1,6,1,5,5,5,1,5,5,2,,1,5,,4,,2,,6,1,1,3,3,,3,2,5,5,5,45,45,50
3,2,1,2,4,23,2,5,26,1,3,2,2,4,6,5,5,2,6,6,2,7,3,3,14,1,2,1,6,1,1,1,1,1,7,7,5,7,2,8,9,8,,5,,5,6,8,6,,10,,2,5,5,5,18,1,3
6,2,1,8,4,24,2,6,,1,3,3,1,5,7,7,1,1,5,6,1,1,6,1,14,6,6,1,3,7,7,7,7,7,5,1,6,3,3,5,1,1,,4,,2,1,5,7,,1,,4,,,,24,18,60
3,1,1,2,4,26,2,5,26,1,3,5,3,5,6,6,4,2,5,6,2,7,3,3,14,1,4,2,4,2,2,5,3,9,6,6,5,2,2,7,7,8,,6,,9,,2,0,10,4,0,5,5,5,5,54,54,14
4,2,1,2,4,22,3,6,22,2,4,4,2,5,7,6,6,7,2,7,7,7,7,3,14,1,1,1,1,1,1,1,1,1,7,7,4,6,4,8,,4,,,,10,3,,,,2,,,4,5,5,12,12,24
5,2,1,2,4,23,1,1,22,1,5,2,2,5,7,6,1,1,2,6,2,3,3,4,14,1,1,1,2,2,2,6,5,6,6,6,2,1,1,1,,,,1,,,1,4,0,1,1,1,,5,5,5,83,83,
2,2,1,2,3,22,5,14,26,1,4,3,1,4,7,7,3,1,4,6,1,2,1,1,12,5,3,1,2,2,5,5,5,6,2,2,6,8,8,10,,,4,6,2,10,,6,7,10,2,,,5,5,5,36,1,3
4,2,1,2,6,24,1,0,24,3,5,5,1,5,6,7,1,5,1,4,2,1,5,4,12,5,5,1,3,6,6,4,4,6,3,1,3,5,3,4,6,4,4,5,,,4,5,4,6,3,,5,4,5,5,90,90,
2,4,1,2,4,23,8,30,24,1,3,3,1,2,7,6,7,4,4,5,5,4,3,1,14,2,3,3,4,3,2,2,2,2,6,7,,,,,,,,,,,,,,,,,,4,4,4,12,1,6
5,1,1,2,4,28,1,2,25,1,5,5,1,5,6,5,5,1,4,5,1,5,2,3,14,3,3,1,1,1,2,6,5,7,7,6,,1,1,1,7,4,,5,,8,5,1,5,1,5,1,3,4,5,4,48,48,48
4,2,5,2,3,28,5,2,34,1,5,5,1,5,7,7,5,1,5,7,1,6,2,3,14,2,5,2,6,4,2,6,2,6,6,5,,3,4,8,,8,,6,,4,2,,3,1,,,,2,5,4,46,46,47
3,2,1,2,4,24,2,1,24,1,5,4,1,5,7,7,1,1,2,6,5,2,1,1,14,1,1,1,2,2,2,2,2,1,5,6,6,5,,3,4,4,,3,,5,3,3,4,7,4,2,4,5,5,5,36,30,42
,2,1,8,3,25,1,1,26,1,4,4,2,4,6,6,3,3,2,6,2,4,5,1,14,3,6,3,4,5,5,5,5,5,6,4,5,1,3,8,4,5,3,3,3,1,4,6,5,5,7,7,2,1,1,1,14,14,
3,1,1,2,4,22,1,2,,1,4,5,2,5,5,6,5,3,7,6,2,5,2,1,14,1,1,1,4,2,1,1,1,1,6,7,4,7,2,7,8,9,,6,,10,,9,6,,9,,,5,5,5,11,11,22
,1,1,2,3,25,1,4,24,1,5,5,3,5,5,6,2,6,2,7,1,7,1,1,14,2,5,2,2,2,2,2,2,2,9,9,6,5,2,6,1,2,,6,,8,6,,10,,1,1,1,3,3,3,60,60,6
5,2,1,2,4,23,3,20,26,1,5,5,2,5,6,4,5,5,5,3,4,4,,3,12,7,9,7,7,7,5,5,4,5,5,7,8,8,7,5,5,5,6,7,6,7,6,7,7,6,3,7,6,3,4,4,55,55,
4,2,1,2,5,26,1,2,25,1,5,5,1,5,6,6,1,1,5,7,2,2,3,1,14,1,4,1,9,9,1,1,1,1,6,6,5,4,4,,3,,,,,5,4,3,,,6,,,5,5,5,40,40,
4,1,1,2,4,26,2,4,23,2,4,4,1,5,7,6,1,1,1,6,1,1,2,1,14,7,4,1,2,6,7,7,7,7,3,1,6,2,1,9,4,6,3,1,,8,10,4,9,10,8,1,5,4,5,5,24,24,43
